nodename	dN	dS	id
LIN	0.013405	0.135735	x_100_30
AFR	0.000675	0.006497	x_100_30
MIM	0.001287	0.00568	x_100_30
AFR_MIM	0.004589	0.058401	x_100_30
TENT	0.001113	0.006732	x_100_30
DUM	0.001314	0.006591	x_100_30
TENT_DUM	0.005356	0.054912	x_100_30
BI	0.001347	0.009162	x_100_30
PAC	0.000151	0.002924	x_100_30
SARA	0.000959	0.006789	x_100_30
PAC_SARA	0.000622	0.006302	x_100_30
BI_PAC_SARA	0.003103	0.044691	x_100_30
TENT_DUM_BI_PAC_SARA	0.001609	0.01647	x_100_30
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_30
LIN	0.01288	0.138481	x_100_31
AFR	0.000706	0.00768	x_100_31
MIM	0.001486	0.008265	x_100_31
AFR_MIM	0.005151	0.062583	x_100_31
TENT	0.001696	0.007559	x_100_31
DUM	0.001296	0.006734	x_100_31
TENT_DUM	0.005825	0.054653	x_100_31
BI	0.001374	0.010951	x_100_31
PAC	0.000191	0.002869	x_100_31
SARA	0.000715	0.006008	x_100_31
PAC_SARA	0.000633	0.006803	x_100_31
BI_PAC_SARA	0.003611	0.043821	x_100_31
TENT_DUM_BI_PAC_SARA	0.001703	0.015759	x_100_31
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_31
LIN	0.012374	0.130799	x_100_32
AFR	0.00066	0.006288	x_100_32
MIM	0.001278	0.006374	x_100_32
AFR_MIM	0.0047	0.058057	x_100_32
TENT	0.001159	0.006222	x_100_32
DUM	0.001374	0.008664	x_100_32
TENT_DUM	0.004696	0.048849	x_100_32
BI	0.001184	0.00998	x_100_32
PAC	0.000155	0.001853	x_100_32
SARA	0.000756	0.004862	x_100_32
PAC_SARA	0.00057	0.006025	x_100_32
BI_PAC_SARA	0.002824	0.043694	x_100_32
TENT_DUM_BI_PAC_SARA	0.001422	0.015583	x_100_32
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_32
LIN	0.014403	0.137045	x_100_33
AFR	0.000691	0.006158	x_100_33
MIM	0.001173	0.006431	x_100_33
AFR_MIM	0.005932	0.057762	x_100_33
TENT	0.001173	0.007619	x_100_33
DUM	0.001305	0.007131	x_100_33
TENT_DUM	0.005663	0.04832	x_100_33
BI	0.001392	0.009722	x_100_33
PAC	0.000251	0.00273	x_100_33
SARA	0.000796	0.006372	x_100_33
PAC_SARA	0.000791	0.007523	x_100_33
BI_PAC_SARA	0.003809	0.044402	x_100_33
TENT_DUM_BI_PAC_SARA	0.001519	0.015266	x_100_33
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_33
LIN	0.013233	0.133293	x_100_34
AFR	0.00079	0.006609	x_100_34
MIM	0.00117	0.006653	x_100_34
AFR_MIM	0.005491	0.06325	x_100_34
TENT	0.001372	0.00892	x_100_34
DUM	0.001326	0.006464	x_100_34
TENT_DUM	0.005679	0.051388	x_100_34
BI	0.001318	0.010377	x_100_34
PAC	0.000206	0.002812	x_100_34
SARA	0.001023	0.006937	x_100_34
PAC_SARA	0.000628	0.006326	x_100_34
BI_PAC_SARA	0.003505	0.043797	x_100_34
TENT_DUM_BI_PAC_SARA	0.001752	0.016979	x_100_34
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_34
LIN	0.014963	0.1406	x_100_35
AFR	0.000846	0.006854	x_100_35
MIM	0.001588	0.006824	x_100_35
AFR_MIM	0.005618	0.063693	x_100_35
TENT	0.001436	0.007228	x_100_35
DUM	0.001454	0.006663	x_100_35
TENT_DUM	0.00573	0.051355	x_100_35
BI	0.001598	0.009813	x_100_35
PAC	0.000185	0.002827	x_100_35
SARA	0.000984	0.006036	x_100_35
PAC_SARA	0.000695	0.006531	x_100_35
BI_PAC_SARA	0.003994	0.04449	x_100_35
TENT_DUM_BI_PAC_SARA	0.00199	0.016201	x_100_35
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_35
LIN	0.012688	0.133882	x_100_36
AFR	0.000876	0.006371	x_100_36
MIM	0.001342	0.006543	x_100_36
AFR_MIM	0.004817	0.061627	x_100_36
TENT	0.001233	0.007174	x_100_36
DUM	0.001538	0.006676	x_100_36
TENT_DUM	0.005174	0.049344	x_100_36
BI	0.001205	0.010752	x_100_36
PAC	5.9e-05	0.002188	x_100_36
SARA	0.000781	0.00624	x_100_36
PAC_SARA	0.000688	0.007258	x_100_36
BI_PAC_SARA	0.00338	0.04301	x_100_36
TENT_DUM_BI_PAC_SARA	0.001534	0.014524	x_100_36
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_36
LIN	0.0167	0.137269	x_100_37
AFR	0.000739	0.006654	x_100_37
MIM	0.001454	0.00677	x_100_37
AFR_MIM	0.00597	0.062315	x_100_37
TENT	0.001146	0.006479	x_100_37
DUM	0.001508	0.007339	x_100_37
TENT_DUM	0.006036	0.052695	x_100_37
BI	0.001583	0.010181	x_100_37
PAC	0.000177	0.003279	x_100_37
SARA	0.000917	0.005707	x_100_37
PAC_SARA	0.000811	0.006666	x_100_37
BI_PAC_SARA	0.00397	0.04541	x_100_37
TENT_DUM_BI_PAC_SARA	0.002064	0.015791	x_100_37
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_37
LIN	0.012622	0.138872	x_100_38
AFR	0.000703	0.007095	x_100_38
MIM	0.001379	0.007512	x_100_38
AFR_MIM	0.004543	0.064427	x_100_38
TENT	0.001316	0.007292	x_100_38
DUM	0.001389	0.007032	x_100_38
TENT_DUM	0.005562	0.053326	x_100_38
BI	0.001183	0.010487	x_100_38
PAC	0.000163	0.002823	x_100_38
SARA	0.000682	0.006349	x_100_38
PAC_SARA	0.000607	0.006681	x_100_38
BI_PAC_SARA	0.003458	0.046777	x_100_38
TENT_DUM_BI_PAC_SARA	0.001393	0.016211	x_100_38
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_38
LIN	0.013084	0.132956	x_100_39
AFR	0.000935	0.007294	x_100_39
MIM	0.001189	0.006712	x_100_39
AFR_MIM	0.005018	0.057917	x_100_39
TENT	0.001198	0.00673	x_100_39
DUM	0.001798	0.00584	x_100_39
TENT_DUM	0.005957	0.050461	x_100_39
BI	0.001249	0.009901	x_100_39
PAC	0.000152	0.002241	x_100_39
SARA	0.001057	0.006233	x_100_39
PAC_SARA	0.000665	0.006754	x_100_39
BI_PAC_SARA	0.003836	0.044727	x_100_39
TENT_DUM_BI_PAC_SARA	0.001399	0.014388	x_100_39
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_39
LIN	0.012009	0.125379	x_100_3
AFR	0.000708	0.006434	x_100_3
MIM	0.001226	0.007018	x_100_3
AFR_MIM	0.005068	0.06364	x_100_3
TENT	0.001226	0.007155	x_100_3
DUM	0.001306	0.007123	x_100_3
TENT_DUM	0.005151	0.051963	x_100_3
BI	0.001378	0.010411	x_100_3
PAC	0.000218	0.00293	x_100_3
SARA	0.000937	0.005992	x_100_3
PAC_SARA	0.000605	0.006318	x_100_3
BI_PAC_SARA	0.003384	0.043191	x_100_3
TENT_DUM_BI_PAC_SARA	0.001439	0.015533	x_100_3
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_3
LIN	0.012294	0.128008	x_100_40
AFR	0.000977	0.006608	x_100_40
MIM	0.001247	0.006985	x_100_40
AFR_MIM	0.004735	0.057817	x_100_40
TENT	0.001026	0.006096	x_100_40
DUM	0.001821	0.006482	x_100_40
TENT_DUM	0.005343	0.047871	x_100_40
BI	0.001208	0.009552	x_100_40
PAC	0.000153	0.002123	x_100_40
SARA	0.000752	0.004857	x_100_40
PAC_SARA	0.00059	0.006147	x_100_40
BI_PAC_SARA	0.003406	0.043856	x_100_40
TENT_DUM_BI_PAC_SARA	0.00103	0.013172	x_100_40
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_40
LIN	0.016039	0.132267	x_100_41
AFR	0.000895	0.006738	x_100_41
MIM	0.001212	0.006437	x_100_41
AFR_MIM	0.006179	0.0615	x_100_41
TENT	0.001137	0.006163	x_100_41
DUM	0.001271	0.007126	x_100_41
TENT_DUM	0.006834	0.051143	x_100_41
BI	0.001563	0.010533	x_100_41
PAC	0.00024	0.002962	x_100_41
SARA	0.000964	0.005479	x_100_41
PAC_SARA	0.000797	0.006572	x_100_41
BI_PAC_SARA	0.004217	0.042021	x_100_41
TENT_DUM_BI_PAC_SARA	0.002289	0.015143	x_100_41
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_41
LIN	0.015683	0.130257	x_100_42
AFR	0.000767	0.005761	x_100_42
MIM	0.001434	0.006654	x_100_42
AFR_MIM	0.006031	0.061057	x_100_42
TENT	0.001385	0.006345	x_100_42
DUM	0.001544	0.007602	x_100_42
TENT_DUM	0.006007	0.051027	x_100_42
BI	0.001805	0.010549	x_100_42
PAC	0.000376	0.003564	x_100_42
SARA	0.001028	0.007045	x_100_42
PAC_SARA	0.000805	0.006689	x_100_42
BI_PAC_SARA	0.00434	0.0456	x_100_42
TENT_DUM_BI_PAC_SARA	0.001855	0.015331	x_100_42
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_42
LIN	0.015102	0.137683	x_100_43
AFR	0.000878	0.007158	x_100_43
MIM	0.001415	0.006916	x_100_43
AFR_MIM	0.006001	0.059487	x_100_43
TENT	0.001244	0.00566	x_100_43
DUM	0.001224	0.006252	x_100_43
TENT_DUM	0.005785	0.049382	x_100_43
BI	0.001543	0.010246	x_100_43
PAC	0.000246	0.002858	x_100_43
SARA	0.000913	0.005606	x_100_43
PAC_SARA	0.000755	0.00688	x_100_43
BI_PAC_SARA	0.004232	0.044435	x_100_43
TENT_DUM_BI_PAC_SARA	0.001473	0.013629	x_100_43
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_43
LIN	0.0146	0.129078	x_100_44
AFR	0.000955	0.005609	x_100_44
MIM	0.001375	0.006425	x_100_44
AFR_MIM	0.00568	0.059119	x_100_44
TENT	0.00125	0.00626	x_100_44
DUM	0.001438	0.007552	x_100_44
TENT_DUM	0.005911	0.049168	x_100_44
BI	0.001332	0.009551	x_100_44
PAC	0.000207	0.003095	x_100_44
SARA	0.000898	0.006409	x_100_44
PAC_SARA	0.000638	0.005642	x_100_44
BI_PAC_SARA	0.003819	0.043991	x_100_44
TENT_DUM_BI_PAC_SARA	0.001858	0.014309	x_100_44
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_44
LIN	0.013767	0.135688	x_100_45
AFR	0.00071	0.006835	x_100_45
MIM	0.001098	0.005757	x_100_45
AFR_MIM	0.005438	0.062782	x_100_45
TENT	0.001172	0.005906	x_100_45
DUM	0.001517	0.006557	x_100_45
TENT_DUM	0.005343	0.050134	x_100_45
BI	0.001471	0.010824	x_100_45
PAC	8.6e-05	0.001994	x_100_45
SARA	0.0008	0.004955	x_100_45
PAC_SARA	0.000724	0.007139	x_100_45
BI_PAC_SARA	0.003958	0.043083	x_100_45
TENT_DUM_BI_PAC_SARA	0.001953	0.015523	x_100_45
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_45
LIN	0.013281	0.137377	x_100_46
AFR	0.000752	0.007143	x_100_46
MIM	0.001215	0.006571	x_100_46
AFR_MIM	0.005197	0.063693	x_100_46
TENT	0.001096	0.007136	x_100_46
DUM	0.001472	0.008224	x_100_46
TENT_DUM	0.005468	0.054938	x_100_46
BI	0.001281	0.010194	x_100_46
PAC	0.000175	0.002149	x_100_46
SARA	0.000763	0.006525	x_100_46
PAC_SARA	0.000548	0.005667	x_100_46
BI_PAC_SARA	0.003546	0.046719	x_100_46
TENT_DUM_BI_PAC_SARA	0.00169	0.015759	x_100_46
